"id","status","sort","user_created","date_created","user_updated","date_updated","brand_name","model","type","price","price_before","discount_info","partner_name","partner_link_url","partner_link_rel_2","partner_link_title","ceneo_link_rel_2","ceneo_url","ceneo_link_title","image","humidification_efficiency","tested_efficiency","max_area","tested_max_area","water_tank_capacity","water_tank_min_time","water_tank_fill_type","hygrostat","hygrostat_min","hygrostat_max","hygrostat_step","fan_modes_count","min_fan_volume","max_fan_volume","night_mode","evaporative_filter","evaporative_filter_life","evaporative_filter_price","silver_ion","silver_ion_life","silver_ion_price","ceramic_filter","ceramic_filter_life","ceramic_filter_price","uv_lamp","ionization","mobile_app","mobile_features","control_other","remote_control","functions","min_rated_power_consumption","max_rated_power_consumption","rated_voltage","width","height","depth","weight","colors","capability_points","capability","profitability_points","ranking","profitability","review_link","ranking_hidden","Filter_cots_humi","disks","main_ranking","for_plant","for_desk","alergic","astmatic","small","for_kids","big_area","humidification_area","max_area_ro","max_performance","hepa_filter_class","mesh_filter","carbon_filter","type_of_device","is_promo","gallery"
11,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-04-12T11:28:06.000Z","f76fde35-7e8f-49bd-893d-9706def1e294","2025-06-10T09:27:08.000Z","Philips","HU4803/01","vapor",619,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/30577829#crid=464952&pid=16557",,"652f2960-f297-431b-ae91-29a196ded265",220,230,25,32.85714,2,9,"remove_cover","1",40,60,10,3,26,"50","1","1",3,49,"0",,,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Higrostat"",""Timer""]",,14,,24.9,33.9,24.9,1.5,"[""white""]",55,55,37,13,37,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/philips-hu4803-01/",false,"Wymiana filtra nawilżającego HU4102 co 3 miesiące - 49 zł. Koszt na sezon (6 miesięcy) - 98 zł, koszt roczny - 196 zł.",,"Tak","Nie","nie","nie","nie","tak","tak","nie",,,,,,,,false,"[64,65,177]"
12,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-04-12T11:29:36.000Z","f76fde35-7e8f-49bd-893d-9706def1e294","2024-11-07T09:06:15.000Z","Stylies","Carina","vapor",299,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/20247759#crid=506217&pid=16557",,"a2995acd-9b11-4810-8614-a7fd65a1fdc5",250,110,35,15.71429,3.5,1.4,"window","0",,,,1,26,"26","0","1",3,78,"1",12,89,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""brak""]",8,8,,35,25.5,19,1.6,"[""white""]",37,37,36,14,39,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/stylies-carina-2/",false,,,"Tak","Nie","nie","nie","nie","tak","nie","nie",,,,,,,,false,"[66,67,68,69,70]"
13,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-04-12T11:30:58.000Z","94875643-bc29-4c6b-89d0-3b59e7ddf858","2025-05-08T10:46:14.000Z","Stylies","Alaze","vapor",469,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/90273475#crid=482233&pid=16557",,"926b0e10-a935-42be-ac0c-67cc86f2c49f",280,210,40,30,3,10.7,"window","1",50,50,0,3,27,"42","1","1",3,79,"1",12,89,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Higrostat""]",,3.5,,28,27.1,160,1.42,"[""white""]",65,65,35,15,46,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/stylies-alaze-2/",false,"Wymiana filtra nawilżającego co 3 miesiące - 79 zł. Wymiana kostki z jonami srebra co 1 rok- 89 zł.
Koszt na sezon (6 miesięcy) - 247 zł, koszt roczny - 405 zł.",,"Tak","Nie","nie","nie","nie","tak","nie","nie",,,,,,,,false,"[71,72,73,74,75]"
14,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-04-12T11:32:12.000Z","ce682939-7d3b-4f32-85de-df7f56fffb04","2024-08-09T11:24:45.000Z","HB","AW1015DW","sonic",267,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/47464484#crid=242538&pid=16557",,"84bb5acd-4c71-41c9-bb95-f5d92729f734",150,70,15,10,2.2,14.6,"remove_cover","1",40,60,10,3,,"25","0","1",3,39,"0",,,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Optyczny wskaźnik napełnienia zbiornika"",""Programator czasu pracy (wyłączenia)"",""Wskaźnik poziomu nawilżenia""]",,17.3,,26,37,25,3,"[""white""]",21,31,27,,25,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/hb-aw1015dw/",false,,,"Nie","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[76,77,78,79,80]"
15,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-04-12T11:33:28.000Z","f76fde35-7e8f-49bd-893d-9706def1e294","2024-11-07T09:08:26.000Z","Stadler Form","Oskar Little","vapor",406,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/40276036#crid=271732&pid=16557",,"b60f934d-a284-425f-9cbb-10ae9f7abfb0",200,110,30,15.71429,2.5,12.5,"window","0",,,,2,26,"39","1","1",3,84,"1",12,99,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Aromaterapia""]",6,15,,24.6,29,17.5,2.5,"[""white"",""black"",""Tytanowy"",""Czerwony""]",33,36,27,17,29,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/stadler-form-oskar-little/",false,"Wymiana kasety filtracyjnej co 2-3 miesiące - 79 zł. Wymiana kostki z jonami srebra co 12 miesięcy - 99 zł. Koszt na sezon (6 miesięcy) - 207 zł, koszt roczny - 415 zł.",,"Tak","Nie","Tak","nie","nie","tak","nie","nie",,,,,,,,false,"[81,82,83,84,85,86,87,88]"
16,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-04-13T12:28:19.000Z","f76fde35-7e8f-49bd-893d-9706def1e294","2025-06-10T08:46:24.000Z","Stadler Form","Oskar Czarny","vapor",499,,,,,"[""noopener"",""nofollow""]",,"[""noopener"",""nofollow""]","https://www.ceneo.pl/7659433#crid=242567&pid=16557",,"4b665346-fb4f-41d8-8d72-7779988e11d4",370,180,50,25.71429,3.6,9.4,"window","1",40,55,5,2,26,"39","1","1",3,90,"1",12,100,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Higrostat"",""Aromaterapia""]",6,18,,24.6,29,24.6,3.1,"[""Tytanowy"",""Czarny"",""Biały""]",60,63,43,9,47,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/stadler-form-oskar/",false,"Wymiana kasety filtracyjnej co 2-3 miesiące - 79 zł. Wymiana kostki z jonami srebra co 12 miesięcy - 99 zł. Koszt na sezon (6 miesięcy) - 207 zł, koszt roczny - 415 zł.",,"Tak","Nie","Tak","nie","nie","tak","tak","nie",,,,,,,,false,"[95,96,97,98,101,102,105]"
17,"published",,"f76fde35-7e8f-49bd-893d-9706def1e294","2022-05-09T10:41:50.000Z","ce682939-7d3b-4f32-85de-df7f56fffb04","2024-08-08T14:09:23.000Z","Stadler Form","Oskar Big","vapor",999,1199,"17%",,,"[""noopener"",""nofollow""]",,"[""noopener"",""nofollow""]","https://www.ceneo.pl/20247804#crid=527010&pid=16557","Sprawdź najtańszą ofertę na Ceneo.pl","d466a97b-a1ce-47c1-9b32-d1fc06037c7c",700,415,100,59.28571,6,8.5,"window","1",40,55,5,4,,"26","1","1",2,79,"1",12,100,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Automatyczne wył. przy pustym zbiorniku"",""Aromaterapia"",""Sygnalizacja pustego zbiornika"",""Sygnalizacja zużycia filtra""]",8,30,,47,29,20,4.7,"[""white"",""black""]",139,100,32,,33,"https://staging.ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/stadler-form-oskar-big/",true,,,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[108,109]"
18,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-08-31T09:59:46.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2023-01-12T12:22:46.000Z","Xiaomi","Smartmi Evaporative Humidifier","vapor",374,374,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/xiaomi-smart-mi-pure-evaporative/",,"43f281f7-8247-46f1-bc91-354087f98c16",240,200,50,28.57143,4,20,"window","1",,,,3,34,"47","0","0",,,"0",,,"0",,,"0","no","1","[""Wi-Fi 2,4 GHz""]",,"0","[""Automatyczne wył. przy pustym zbiorniku"",""Sygnalizacja pustego zbiornika"",""Funkcja osuszania filtra"",""Wskaźnik poziomu nawilżenia"",""Zakres prezentowanej wilgotności (w %)"",""Optyczny wskaźnik napełnienia zbiornika"",""Programator czasu pracy (włączenia)"",""Programator czasu pracy (wyłączenia)""]",2,5,,24,36.3,24,5.17,"[""white""]",,0,,,0,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/xiaomi-smart-mi-pure-evaporative/",true,,,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[]"
19,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-08-31T10:19:06.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2023-01-12T12:25:44.000Z","Xiaomi","MiJia Pure Smart Humidifier Pro","vapor",0,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/99092655#crid=547919&pid=16557",,"cadf593b-5d85-4ff2-9b3a-b53118936f81",600,,80,,5,8.3,"remove_cover","1",,,,3,,"50","0","0",,,"0",,,"1",,,"1","no","1","[""Wi-Fi 2,4 GHz""]",,"0","[""Automatyczne wył. przy pustym zbiorniku"",""Optyczny wskaźnik napełnienia zbiornika"",""Sygnalizacja pustego zbiornika"",""Funkcja osuszania filtra"",""Wskaźnik poziomu nawilżenia"",""Zakres prezentowanej wilgotności (w %)"",""Programator czasu pracy (włączenia)"",""Programator czasu pracy (wyłączenia)""]",,,,28.5,50.8,28.5,5.86,"[""white""]",,0,,,0,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/xiaomi-pure-smart-humidifier-pro/",true,,,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[]"
20,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-08-31T10:29:14.000Z","94875643-bc29-4c6b-89d0-3b59e7ddf858","2024-09-02T09:25:38.000Z","Xiaomi","Smartmi Evaporative Humidifier 2","vapor",428,,,,,"[""nofollow"",""noopener""]",,"[""noopener"",""nofollow""]","https://www.ceneo.pl/97646593#crid=532387&pid=16557",,"f7710607-1294-457d-9499-ceb652e4b4dc",260,220,50,31.42857,4,,"window","1",,,,3,34.3,"50","0","0",,,"0",,,"0",,,"0","no","1","[""Wi-Fi 2,4 GHz""]",,"0","[""Automatyczne wył. przy pustym zbiorniku"",""Optyczny wskaźnik napełnienia zbiornika"",""Sygnalizacja pustego zbiornika"",""Zakres prezentowanej wilgotności (w %)"",""Wskaźnik poziomu nawilżenia"",""Programator czasu pracy (włączenia)"",""Programator czasu pracy (wyłączenia)"",""Wskaźnik temperatury""]",,8,,24,36.3,24,4.3,"[""white""]",,0,,,0,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/xiaomi-smart-mi-pure-evaporative-2/",true,,,"Tak","Nie","nie","nie","nie","nie","tak","nie",,,,,,,,false,"[]"
21,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-08-31T10:41:59.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2023-01-12T12:29:19.000Z","Stadler Form","George","vapor",943,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/90458213#crid=538999&pid=16557",,"3032ea65-c25b-46d8-ab6d-8f66ab46bf81",400,,60,,3.2,8,"remove_cover","1",40,55,5,4,27,"48","0","0",2,109,"1",12,129,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Automatyczne wył. przy pustym zbiorniku"",""Aromaterapia""]",3,23,,31.5,41.8,21.5,5,"[""white""]",,0,,,0,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/stadler-form-george/",true,,,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[]"
22,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-08-31T12:16:39.000Z","e7bcdc1c-c375-4e8c-80b7-b5e5af3507f6","2023-01-12T12:30:06.000Z","Webber","HH10001","vapor",1299,,,,,"[""nofollow"",""noopener""]",,"[""noopener"",""nofollow""]","https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/webber-hh10001/",,"6a3c8ef4-dfaa-4ace-bc37-b7f063cd0b93",1200,,100,,10,,"window","1",30,80,5,2,,"30","1","1",,179,"0",,,"0",,,"0","blade","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Automatyczne wył. przy pustym zbiorniku"",""Optyczny wskaźnik napełnienia zbiornika"",""Sygnalizacja pustego zbiornika"",""Wskaźnik poziomu nawilżenia"",""Zakres prezentowanej wilgotności (w %)"",""Programator czasu pracy (włączenia)""]",,40,,29,69,29,7.2,"[""white""]",,0,,,0,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/webber-hh10001/",true,,,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[]"
24,"published",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-09-01T09:10:46.000Z","94875643-bc29-4c6b-89d0-3b59e7ddf858","2025-03-03T13:58:11.000Z","Blaupunkt","AHE601","1",429,,,,,"[""nofollow"",""noopener""]",,"[""nofollow"",""noopener""]","https://www.ceneo.pl/103360230#cid=25918&crid=455067&pid=16557",,"6d25012a-b7b2-48ac-888a-a6bd580d6cbd",250,280,30,40,4,,,"0",,,,2,,"45","1","1",,79,"0",,,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Wskaźnik poziomu nawilżenia"",""Zakres prezentowanej wilgotności (w %)"",""Sygnalizacja pustego zbiornika"",""Blokada rodzicielska"",""Automatyczne wył. przy pustym zbiorniku""]",,21.2,,26,35.6,26,3,"[""white""]",,0,,,0,"https://ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/beautitiec-szk-a420/",true,,,"Nie","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[]"
25,"draft",,"94875643-bc29-4c6b-89d0-3b59e7ddf858","2022-09-01T09:48:28.000Z","94875643-bc29-4c6b-89d0-3b59e7ddf858","2024-03-18T10:30:10.000Z","Beautitec","SZK-A420","vapor",440,,,"Aze.pl","https://www.aze.com.pl/pl/p/Nawilzacz-ultradzwiekowy-Beautitec-SZK-A500/2237","[""nofollow"",""noopener""]","Link do Aze.pl","[""nofollow"",""noopener""]",,,"c0ccc145-2f4f-4376-87b6-fe7f1ed34e2a",250,280,30,40,4,,,"0",,,,2,,"45","1","1",,79,"0",,,"0",,,"0","no","0","[""Wi-Fi 2,4 GHz""]",,"0","[""Wskaźnik poziomu nawilżenia"",""Zakres prezentowanej wilgotności (w %)"",""Sygnalizacja pustego zbiornika"",""Blokada rodzicielska"",""Automatyczne wył. przy pustym zbiorniku""]",,21.2,,26,35.6,26,3,"[""white""]",,0,,,0,"https://staging.ranking-oczyszczaczy.pl/recenzje-nawilzaczy-powietrza/beautitec-szk-a420/",true,,,"Tak","Nie","nie","nie","nie","nie","nie","nie",,,,,,,,false,"[]"
